Family	Genus	Species	Subspecies	Status	Common name	Region
Achiridae	Trinectes	maculatus		native	Hogchoker	North America
Acipenseridae	Acipenser	brevirostrum		native	Shortnose sturgeon	North America
Acipenseridae	Acipenser	fulvescens		native	Lake sturgeon	North America
Acipenseridae	Acipenser	medirostris		native	Green sturgeon	North America
Acipenseridae	Acipenser	oxyrinchus	desotoi	native	Atlantic sturgeon	North America
Acipenseridae	Acipenser	oxyrinchus	oxyrinchus	native	Gulf sturgeon	North America
Acipenseridae	Acipenser	oxyrinchus		native	Atlantic sturgeon	North America
Acipenseridae	Acipenser	transmontanus		native	White sturgeon	North America
Acipenseridae	Scaphirhynchus	albus		endemic	Pallid sturgeon	North America
Acipenseridae	Scaphirhynchus	platorynchus		native	Shovelnose sturgeon	North America
Acipenseridae	Scaphirhynchus	suttkusi		endemic	Alabama sturgeon	North America
Amblyopsidae	Amblyopsis	hoosieri		native	Hoosier cavefish	North America
Amblyopsidae	Amblyopsis	rosae		endemic	Ozark cavefish	North America
Amblyopsidae	Amblyopsis	spelaea		endemic	Northern cavefish	North America
Amblyopsidae	Chologaster	cornuta		endemic	Swampfish	North America
Amblyopsidae	Forbesichthys	agassizii		endemic	Spring cavefish	North America
Amblyopsidae	Speoplatyrhinus	poulsoni		endemic	Alabama cavefish	North America
Amblyopsidae	Typhlichthys	subterraneus		endemic	Southern cavefish	North America
Amiidae	Amia	calva		native	Bowfin	North America
Anguillidae	Anguilla	rostrata		native	American eel	North America
Aphredoderidae	Aphredoderus	sayanus		endemic	Pirate perch	North America
Atherinopsidae	Atherinella	callida				North America
Atherinopsidae	Chirostoma	bartoni				North America
Atherinopsidae	Chirostoma	charari				North America
Atherinopsidae	Chirostoma	labarcae				North America
Atherinopsidae	Chirostoma	promelas				North America
Atherinopsidae	Chirostoma	riojai				North America
Atherinopsidae	Labidesthes	sicculus		native	Brook silverside	North America
Atherinopsidae	Labidesthes	vanhyningi		native	Golden silverside	North America
Atherinopsidae	Menidia	audens		native	Mississippi silverside	North America
Atherinopsidae	Menidia	beryllina		native	Inland silverside	North America
Atherinopsidae	Menidia	clarkhubbsi		native	Texas silverside	North America
Atherinopsidae	Menidia	extensa		endemic	Waccamaw silverside	North America
Atherinopsidae	Poblana	alchichica				North America
Atherinopsidae	Poblana	ferdebueni				North America
Atherinopsidae	Poblana	letholepis				North America
Atherinopsidae	Poblana	squamata				North America
